,Unnamed: 0,Case_Number,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species
83,83,2017.09.16,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,28,Lacerations to left foot,N,16:30,Unknown
84,84,2017.09.15,2017,Invalid,SOUTH AFRICA,Western Cape Province,Hawston,Diving,M,25,"FATAL, but death was probably due to drowning",Unknown,18:30,Unknown
85,85,2017.09.15,2017,Unknown,SAMOA, Upolu Island,Nofoali’i,Fishing,M,,Injuries to hands and legs,N,21:30,Unknown
86,86,2017.09.14,2017,Boat,AUSTRALIA,Westerm Australia,Esperance,Fishing,Unknown,,"sharks rammed boats, no injury to occupants",N,21:30,"White shark, "
87,87,2017.09.13,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,18,Lacerations to left foot,N,18:45, shark
88,88,2017.09.10,2017,Unprovoked,AUSTRALIA,Westerm Australia,Sam's Creek area,Swimming,M,,Minor injuries,N,15:00,Unknown
89,89,2017.09.10,2017,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,Surfing,M,35,Minor lacerations to right hip,N,06:00,"White shark, "
90,90,2017.09.06,2017,Unprovoked,SOLOMON ISLANDS,Unknown,Owarigi Island,Spearfishing,M,,Foot bitten,N,06:00,Unknown
91,91,2017.09.03,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,"Swimming,",M,,FATAL,Y,08:30,Unknown
92,92,2017.09.03,2017,Unprovoked,JAPAN,Shizuoka Prefecture,Iwata City,Surfing,M,42,Injury to ankle & feet,N,10:00,Unknown
93,93,2017.09.02,2017,Unprovoked,USA,Florida,"Marathon, Monroe County",Swimming,M,,Lacerations to abdomen,N,10:00,Nurse shark
94,94,2017.09.02,2017,Unprovoked,USA,Texas,"South Padre Island, Cameron County",Swimming,F,,Lacerations to foot,N,10:00,Unknown
95,95,2017.09.02,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Minor injury to right hand,N,10:44,Unknown
96,96,2017.08.29,2017,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,Surfing,M,37,"No injury, board bitten",N,10:30,"White shark,"
97,97,2017.08.27,2017,Unprovoked,USA,Florida,Bathtub Beach ,Wading,F,3,Leg injured,N,13:19,Unknown
98,98,2017.08.26,2017,Invalid,SPAIN,Castellón,Grao de Moncofa,Swimming,F,11,Lacerations to left foot,Unknown,12:00,Shark involvement questionable
99,99,2017.08.26,2017,Unprovoked,NEW ZEALAND,North Island,Off Tutukaka,Canoeing,M,,"No injury, shark bit canoe",N,12:00,Unknown
100,100,2017.08.23,2017,Unprovoked,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",SUP,M,69,Not injured by shark but board bitten,N,10:00,"White shark,  "
101,101,2017.08.18,2017,Unprovoked,BAHAMAS,Unknown,,Spearfishing,M,,Hand injured,N,15:00, shark
102,102,2017.08.10,2017,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,M,13,Minor cuts to sole & toes of left foot,N,13:30,Possibly juvenile blacktip shark
103,103,2017.08.05,2017,Unprovoked,EGYPT,Red Sea Protectorate,Marsa Ghalib,Snorkeling,F,20,Bite to right leg/hip,N,13:30,"Oceanic whitetip shark, "
104,104,2017.08.03,2017,Provoked,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",Fishing,M,34,Foot bitten by landed shark PROVOKED INCIDENT,N,23:30, shark
105,105,2017.08.01,2017,Boat,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",Kayaking/,M,,"No injury, bow of kayak bitten",N,10:45,"White shark, '"
106,106,2017.07.31,2017,Unprovoked,USA,Florida,"Jacksonvlle, Duval County",Skimboarding,M,15,Lacerations to lower leg,N,18:30,Unknown
107,107,2017.07.29,2017,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Abrasions and cuts to sole of foot,Unknown,15:00,small shark
108,108,2017.07.29,2017,Unprovoked,USA,South Carolina,"DeBordieu Colony, Georgetown County",Unknown,F,12,Bite to left thigh / minor injury,N,18:30,Unknown
109,109,2017.07.27,2017,Unprovoked,BAHAMAS,New Providence District,Rose Island,Snorkeling,F,,Foot & ankle injured,N,18:30,Unknown
110,110,2017.07.26,2017,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,,Spearfishing,M,,Severe lacerations to left hand,N,18:30,Unknown
111,111,2017.07.24,2017,Unprovoked,"ST HELENA, BRITISH OVERSEAS TERRITORY",Ascension Island,English Bay,Surfing,M,37,Torso bitten,N,17:00,Unknown
112,112,2017.07.23,2017,Unprovoked,USA,New Jersey,Ventnor,Unknown,F,,Minor injury to hand,N,17:00,Sandtiger shark  
113,113,2017.07.23,2017,Unprovoked,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",Swimming,F,,Abrasion to arm from shark's rough skin,N,18:30,Blue shark 
114,114,2017.07.22,2017,Unprovoked,USA,Florida,"Snipes Point, Monroe County",Unknown,F,40,Foot bitten,N,12:30,small shark
115,115,2017.07.20,2017,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,F,8,Foot injured,Unknown,12:30,Shark involvement not confirmed
116,116,2017.07.20,2017,Boat,USA,California,"Stearns Wharf, Santa Barbara",Kayaking,M,40,"No injury, kayak bitten",N,11:20,"White shark, '"
117,117,2017.07.20,2017,Unprovoked,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",SUP,M,50,"No injury, shark bit paddleboard",N,07:45,"White shark,  '"
118,118,2017.07.14,2017,Unprovoked,USA,Washington,"South Beach, Westport, Grays Harbor County",Surfing,M,,Pulled off board by shark but no injury,N,18:30,"White shark, "
119,119,2017.07.14,2017,Unprovoked,AUSTRALIA,Western Australia,Floreat Beach,Surfing,M,,"Minor injury, grazed by shark",N,11:45,Unknown
120,120,2017.07.11,2017,Boat,USA,California,"Santa Cruz, Santa Cruz County",Kayaking,M,,"No injury, kayak bitten",N,11:00,White shark
121,121,2017.07.09,2017,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",Swimming,M,46,Lower legs bitten,N,15:30,"Bull shark,  "
122,122,2017.07.07,2017,Provoked,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",Fishing,M,32,Hand bitten by hooked shark PROVOKED INCIDENT,N,15:30,"Tiger shark, kg"
123,123,2017.07.07,2017,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",Surfing,F,13,"No injury, shark bit surfboard",N,15:00,"White shark,"
124,124,2017.07.02,2017,Invalid,COMOROS,Anjouan,Moya,Fishing,Unknown,,"Skull found in shark, a probable drowning & scavenging",Unknown,15:00,Shark involvement prior death not confirmed
125,125,2017.06.29,2017,Invalid,USA,South Carolina,Wrightsville Beach,Fishing,M,,"Arm injured by hook, not by a shark",Unknown,19:30,No shark invovlement 
126,126,2017.06.21,2017,Unprovoked,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,F,16,Left foot bitten,N,19:30,Unknown
127,127,2017.06.19,2017,Unprovoked,USA,Florida,"Singer Island, Palm Beach County",Surfing,M,,1 to 2-inch laceration behind knee,N,08:30,Unknown
128,128,2017.06.18,2017,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,F,14,Leg bitten,N,08:30,"Bull shark,  "
129,129,2017.06.18,2017,Unprovoked,REUNION,Unknown,Roches Noire,Surfing,M,34,"No injury, shark bit surfboard ",N,10:00,"Bull shark, "
130,130,2017.06.17,2017,Unprovoked,SPAIN,Ibiza Island,Playa d’en Bossa,Swimming,M,82,2-inch laceration to hand,N,12:00,Unknown
131,131,2017.06.05,2017,Unprovoked,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island",Surfing,M,,Injuries to hand and wrist,N,12:00,Unknown
132,132,2017.06.14,2017,Unprovoked,BAHAMAS,Unknown,,Feeding,F,,Fingernail pulled off ,N,12:00,Unknown
133,133,2017.06.11,2017,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",Surfing,M,48,"No injury, board bitten",N,08:30,"White shark,"
134,134,2017.06.10,2017,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Surfing,F,,"No injury, knocked off board",N,15:45,Seven-gill shark
135,135,2017.06.10,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,19,Laceration to left foot,N,10:00,Unknown
136,136,2017.06.07,2017,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,Surfing,M,30,"Bruise to leg, cuts to hand sustained when he hit the shark",N,10:00," shark, probably smooth hound"
137,137,2017.06.04,2017,Unprovoked,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Spearfishing,M,,Laceration to shin,N,10:00, shark
138,138,2017.06.02,2017,Unprovoked,BAHAMAS,New Providence ,Athol Island,Snorkeling,F,32,Right forearm severed ,N,S:ortly before 12:00,Tiger shark
139,139,2017.05.30,2017,Provoked,USA,South Carolina,"Awendaw, Charleston County",Touching,F,20,Right hand bitten by hooked shark PROVOKED INCIDENT,N,S:ortly before 12:00, shark
140,140,2017.05.28,2017,Unprovoked,USA,Florida,Off Jupiter,Feeding,M,,Lacerations to right arm,N,08:30,Tiger shark
141,141,2017.05.27,2017,Invalid,AUSTRALIA,New South Wales,Evans Head,Fishing,M,73,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,08:30,Unknown
142,142,2017.05.12,2017,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Khor Fakkan,Spearfishing,M,41,Right leg severely bitten,N,08:30,Unknown
143,143,2017.05.06,2017,Provoked,AUSTRALIA,Queensland,Weipa,Attempting,M,29,Thigh nipped PROVOKED INCIDENT,N,08:30, shark
144,144,2017.05.06,2017,Unprovoked,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Snorkeling,M,33,FATAL,Y,17:00,Unknown
145,145,2017.05.03,2017,Invalid,USA,California,"Sunset Beach, Orange County",Surfing,F,18,"Laceration to thigh, likely caused by surfboard fin",Unknown,14:30,Shark involvement highly doubtful
146,146,2017.04.29,2017,Unprovoked,USA,California,"San Onofre, San Diego County ",Swimming,F,,Major injury to posterior thigh,N,17:34,Unknown
147,147,2017.04.29,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,M,14,Minor injury to right calf,N,17:10,Unknown
148,148,2017.04.29,2017,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Surfing,F,33,Left foot bitten,N,11:00,Unknown
149,149,2017.04.29,2017,Unprovoked,REUNION,Saint-Leu,Pointe au Sal,Surfing,M,28,FATAL,Y,11:15,Unknown
150,150,2017.04.27,2017,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",Surfing,F,20s,Puncture wounds & laceration above knee,N,14:00,Unknown
151,151,2017.04.26,2017,Invalid,USA,Florida,,Photo,F,,Alleged laceration to left ankle,Unknown,14:00,No shark invovlement - it ws publicity stunt
152,152,2017.04.22,2017,Unprovoked,"ST HELENA, BRITISH OVERSEAS TERRITORY",Ascension Island,English Bay,Snorkeling,F,40,Calf & foot bitten,N,16:00,Unknown
153,153,2017.04.20,2017,Invalid,USA,South Carolina,Georgetown County,Swimming,M,,Laceration & puncture wounds to left foot,Unknown,08:50,Shark involvement not confirmed
154,154,2017.04.17,2017,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Unknown,Unknown,,Minor bite to the foot,N,18:30,Unknown
155,155,2017.04.17,2017,Unprovoked,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,Surfing,F,17,FATAL,Y,16:00,White shark
156,156,2017.04.14,2017,Unprovoked,USA,Hawaii,"Kekaha Beach, Kauai",Surfing,M,28,Lower right leg severely injured,N,09:00,"Tiger shark, '"
157,157,2017.04.13,2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,17,Lacerations to right foot,N,13:30,Unknown
158,158,2017.04.12,2017,Unprovoked,USA,Florida,St. Augustine,Surfing,F,,Lacerations to right foot,N,13:45,Unknown
159,159,2017.04.12,2017,Invalid,SOUTH AFRICA,KwaZulu-Natal,Protea Banks,Diving,M,68,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",Unknown,13:45,Shark involvement prior death not confirmed
160,160,2017.04.11,2017,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,F,35,Calf bitten,N,16:00,Unknown
161,161,2017.04.10,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,F,10,Laceration to calf,N,17:45,Unknown
162,162,2017.04.10,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,21,Minor injury to left hand,N,17:00,Unknown
163,163,2017.04.06,2017,Unprovoked,USA,Florida,"Daytona, Volusia County",Swimming,M,16,Foot injured,N,17:00,Unknown
164,164,2017.04.05,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,51,"Thigh nipped, minor injury",N,13:00,Unknown
165,165,2017.04.02,2017,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,Kakaying,M,39,"No injury, shark bit off stern of kayak",N,18:30,Unknown
166,166,2017.04.02,2017,Unprovoked,USA,Florida,"Destin, Okaloosa County",Swimming,F,17,Lacerations to thighs,N,15:00,"Bull shark,  "
167,167,2017.03.27,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,58,Minor injury to left foot,N,10:00,Unknown
168,168,2017.03.19,2017,Unprovoked,AUSTRALIA,New South Wales,The Farm,Surfing,M,30,Minor,N,18:30,Unknown
169,169,2017.03.18,2017,Boat,USA,California,Monterey Bay,Kayaking,M,,"No injury, kayak bitten",N,14:30,White shark
170,170,2017.03.11,2017,Unprovoked,PHILIPPINES,Luzon Island,"Villamar, Caoayan",Spearfishing,M,25,Right thigh injured ,N,14:30,shark
171,171,2017.03.09,2017,Unprovoked,BAHAMAS,Great Exuma,,Washing,M,58,Abrasions & lacerations to left leg and hand,N,14:30,Lemon shark
172,172,2017.02.25,2017,Unprovoked,AUSTRALIA,Western Australia,Mauds Point,Snorkeling,F,,Hand bitten,N,08:30,"Bull shark, 5"
