,Date,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species,activity,shark_species
75,2006-03-23,Unprovoked,USA,Hawaii,"Leftovers, near Waimea Bay, O'ahu",Surfing,F,28,5 puncture wounds in left calf,N,,"Tiger shark, '",surfing,tiger shark
76,2005-12-21,Unprovoked,USA,Hawaii,"Keawakapu Beach, Maui",Swimming,M,29,Left hand bitten,N,11:45:00,Tiger shark,swimming,tiger shark
77,2005-11-25,Watercraft,Australia,Victoria,"6 km off Collendina, south of Melbourne",Fishing,Unknown,Unknown,"No injury to occupant, shark bit outboard motor",N,, white shark,fishing,white shark
78,2005-06-22,Unprovoked,Vanuatu,Malampa Province,Atchin Island off Malakula,Swimming,F,7,FATAL,Y,,On //nglers froNew Zealand caught   shark at the same spot. It was believed this was the same shark that killed Alysha,swimming,
79,2004-08-29,Unprovoked,USA,Florida,"New Smyrna Beach / Cape Canaveral  National Seashore, Brevard County",Walking,F,38,Heel bitten,N,17:30:00,Unknown,other,
80,2004-07-27,Unprovoked,USA,North Carolina,"Carolina Beach, New Hanover County",Swimming,F,13,Right forearm & wrist lacerated,N,,  shark,swimming,
81,2004-07-27,Watercraft,Australia,Western Australia,"7 km off Trigg surf beach, Perth",Fishing,Unknown,Unknown,"No injury to occupants; shark mouthed motor, severed anchor line",N,,  white shark,fishing,white shark
82,2003-12-13,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,M,13,Foot bitten,N,13:15:00,Unknown,swimming,
83,2003-12-13,Unprovoked,New Zealand,Cook Islands,Pukapuka Northern Group,Swimming / shipwreck,M,45,FATAL,Y,,Unknown,swimming,
84,2003-07-01,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",Spearfishing,M,Unknown,Laceration to toe,N,,great hammerhead shark,fishing,hammerhead shark
85,2002-12-01,Unprovoked,Brazil,Pernambuco,"Boa Viagem Beach, Recife",Surfing,M,19,FATAL,Y,Unknown:00,Unknown,surfing,
86,2002-06-20,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,11,Small lacerations on right lower leg,N,,Unknown,swimming,
87,2002-04-30,Unprovoked,Australia,South Australia,"Smoky Bay, near Ceduna, on the Eyre Peninsula",Scallop diving (using surface-supplied air & a POD),M,23,"FATAL, torso & leg bitten",Y,,"White shark, ",diving,white shark
88,2001-04-08,Unprovoked,South Africa,Eastern Cape Province,Cape St. Francis,Surfing,M,46,"Thigh, hip & buttock bitten",N,09:30:00,"White shark,  ",surfing,white shark
89,2000-06-13,Watercraft,USA,Florida,"Pensacola Bay, Escambia County",Sailing,Unknown,Unknown,"No injury to occupants, boat's rear platform bitten",N,,"Bull shark,  ",other,bull shark
90,1999-08-16,Unprovoked,USA,South Carolina,"Grand Strand, Myrtle Beach, Horry County",Lying prone in 2' of water,M,10,"Ear lacerated, cuts on scalp, back, arm & shoulder",N,,  shark,other,
91,1999-06-19,Unprovoked,USA,Florida,"11 miles off Dog Island in the Gulf of Mexico, Franklin County",Adrift in a life jacket,M,20,9-inch gash in left foot,N,Unknown:00,  shark,sea accident,
92,1998-09-22,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,Left arm lacerated,N,,Unknown,surfing,
93,1998-08-12,Provoked,South Africa,Transvaal,"National Zoological Gardens Aquarium, Pretoria",Moving a shark in a net,M,Unknown,Lacerations to right shin  PROVOKED INCIDENT,N,,"Sandtiger shark,  m, male",other,tiger shark
94,1998-08-01,Unprovoked,South Africa,Western Cape Province,"Buffalo Bay, near Knysna",Surfing (or body boarding),M,19,Legs bitten,N,Unknown:00,"White shark,  ",surfing,white shark
95,1998-06-08,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,18,"2-inch laceration on dorsum of foot, 1-inch laceration on sole.",N,,Unknown,surfing,
96,1998-01-01,Unprovoked,Reunion,Beaufonds,Unknown,Diving,Unknown,Unknown,FATAL,Y,,Unknown,diving,
97,1997-10-28,Unprovoked,Australia,Western Australia,"Cottesloe Beach, Perth",Surf-skiing,M,51,"Sierakowski suffered a minor facial injury, ski bitten in half by shark",N,Unknown:00,  white shark,surfing,white shark
98,1997-08-02,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading / Surfing,M,19,Top of left foot bitten,N,,juvenile shark,surfing,
99,1996-12-10,Unprovoked,South Africa,Eastern Cape Province,"Duck Pond, Sardina Bay near Port Elizabeth",Surfing,M,Unknown,Elbow bitten,N,,White shark,surfing,white shark
100,1996-10-01,Unprovoked,Brazil,Pernambuco,Unknown,Unknown,Unknown,Unknown,Survived,N,Unknown:00,Unknown,other,
101,1996-05-18,Unprovoked,USA,Florida,"South of Ponce Inlet, Volusia County",Surfing,M,22,Right foot & ankle bitten,N,,  shark,surfing,
102,1995-11-25,Invalid,USA,Hawaii,"Ha'ena, Kaua'i",Unknown,M,Unknown,Minor injury,Unknown,,Shark involvement not confirmed,other,
103,1995-09-28,Unprovoked,USA,California,"Davenport Landing, Santa Cruz County",Windsurfing,M,25,"Right foot bruised, board bitten",N,17:30:00,  white shark,surfing,white shark
104,1995-08-27,Unprovoked,Brazil,Pernambuco,"Boa Viagem, Recife",Surfing,M,Unknown,Survived,N,,Unknown,surfing,
105,1995-08-01,Invalid,Tonga,Vavaâ€™u,Neiafu,Fishing,M,Unknown,Finger broken when 1.8 m [6'] hooked grey reef shark  grabbed his catch,Unknown,,Invalid,fishing,
106,1995-07-06,Unprovoked,USA,Texas,Port Aransas,Surfing,M,34,Foot bitten,N,Unknown:00,Unknown,surfing,
107,1995-06-24,Unprovoked,USA,California,"LaJolla Shores, San Diego County",Kayaking,F,Unknown,Minor injuries,N,,White shark (oth fragment recovered),kayaking/canoeing,white shark
108,1995-01-24,Unprovoked,South Africa,KwaZulu-Natal,Isipingo,Swimming,M,14,"FATAL, right thigh bitten & femur exposed, shallow lacerations on right calf & left thigh & fingers lacerated",Y,,"Tiger shark,  ",swimming,tiger shark
109,1994-04-03,Unprovoked,USA,Florida,"Miami Beach, Dade County",Freediving for seashells,M,71,Left shoulder lacerated,N,15:00:00,Unknown,diving,
110,1994-04-02,Unprovoked,South Africa,Western Cape Province,Arniston,Spearfishing,M,Unknown,FATAL,Y,, white shark,fishing,white shark
111,1993-10-26,Unprovoked,USA,Florida,"Treasure Shores Beach, Indian River County",Swimming,F,26,Thigh & hand lacerated,N,,  bull shark,swimming,bull shark
112,1993-09-26,Unprovoked,South Africa,Western Cape Province,Danger Point,Spearfishing,M,36,Calf lacerated,N,11:30:00,  white shark,fishing,white shark
113,1993-04-01,Invalid,Australia,Tasmania,Barren Joey Island,Spearfishing,M,32,No injury,Unknown,,Invalid,fishing,
114,1993-02-18,Sea Disaster,Tonga,Tongapatu Group,Between 'Ata and Tongapatu,Sea disaster,M,Unknown,Foot bitten,N,,  shark,sea accident,
115,1992-11-11,Unprovoked,USA,California,"San Nicholas Island, Santa Barbara County",Scuba diving (submerged),M,40,Foot punctured,N,14:00:00,Unidentified shark,diving,
116,1992-03-08,Unprovoked,USA,Oregon,"Winchester Bay, Douglas County",Surfing (sitting on his board),M,21,"Left shoulder & side bitten, board broken",N,,Said  involve     white shark,surfing,white shark
117,1992-01-01,Unprovoked,Fiji,Tavenui,Unknown,Unknown,M,33,FATAL,Y,,Unknown,other,
118,1990-11-03,Unprovoked,USA,California,"Monastery Beach, Carmel Bay, Monterey County",Scuba diving (but on surface),F,Unknown,Leg bitten,N,15:00:00,    white shark,diving,white shark
119,1990-02-17,Unprovoked,USA,Hawaii,"Mokapu, Kane'ohe Marine Air Corps Station, O'ahu",Scuba diving & spearfishing,M,Unknown,Right arm severed  FATAL,Y,,Two sharks seen in vicinity:  & .   TL,diving,
120,1989-11-18,Unprovoked,South Africa,Western Cape Province,Melkbosstrand,Free diving & spearfishing,M,29,FATAL,Y,,White shark,diving,white shark
121,1989-10-29,Unprovoked,Australia,Northern Territory,Edith Falls,Swimming,F,31,Puncture marks to right calf,N,Unknown:00,Unknown,swimming,
122,1989-07-19,Unprovoked,Reunion,Sainte-Suzanne,Temple Tamoule,Surfing,M,Unknown,FATAL,Y,,Unknown,surfing,
123,1989-06-05,Unprovoked,South Africa,Eastern Cape Province,Jeffreys Bay,Surfing,M,16,"No injury, board bitten",N,,  white shark,surfing,white shark
124,1988-10-14,Unprovoked,USA,Florida,"Boca Raton, Palm Beach County",Surfing,M,15,Lacerations to left thigh,N,Unknown:00,shark,surfing,
125,1988-07-01,Unprovoked,Bahamas,Unknown,Unknown,Spearfishing,M,Unknown,Lacerations to arm,N,,Unknown,fishing,
126,1987-05-06,Provoked,Australia,New South Wales,Unknown,Fishing,M,34,3 fingers severed by metal trace as he tried to haul in a hooked shark. PROVOKED ACCIDENT,N,,Unknown,fishing,
127,1986-11-19,Unprovoked,USA,Florida,"Indiatlantic, Brevard County",Surfing,M,26,Laceration to dorsum of left foot,N,10:40:00,Unknown,surfing,
128,1986-02-07,Unprovoked,South Africa,Eastern Cape Province,"King's Beach, Port Elizabeth",Swimming,M,46,Lower leg lacerated,N,,Raggedoth shark,swimming,raggedoth shark
129,1985-12-22,Unprovoked,South Africa,KwaZulu-Natal,Garvies Beach,Surfing,M,Unknown,"Both surfers boards were bumped by sharks, Moolman sustained abrasions on his arm and leg",N,,Unknown,surfing,
130,1985-08-22,Unprovoked,USA,South Carolina,"Palmetto Dunes, Hilton Head, Beaufort County",Wading,M,87,Right calf bitten & less serious injury to left foot,N,Unknown:00,Unknown,other,
131,1985-07-25,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Hand bitten,N,,Unknown,surfing,
132,1985-01-04,Unprovoked,South Africa,Western Cape Province,"Buffels Bay, False Bay",Spearfishing,M,34,Minor injury to torso,N,,  white shark,fishing,white shark
133,1984-10-14,Unprovoked,USA,Florida,"Bob Graham Beach, Martin County",Surfing,M,15,Left calf bitten,N,15:00:00,  blacktip shark,surfing,blacktip shark
134,1984-05-31,Unprovoked,South Africa,Western Cape Province,Arniston,Spearfishing,M,28,Swim fin bitten,N,,Unknown,fishing,
135,1981-08-10,Unprovoked,USA,Florida,"Ormond Beach / Daytona Beach, Volusia County","16' catamaran capsized previous night, occupants stayed with wreckage until morning, then attempted to swim ashore",F,19,FATAL,Y,,Unknown,sea accident,
136,1979-10-22,Provoked,South Africa,Eastern Cape Province,Algoa Bay,Fishing,M,Unknown,Bitten below right knee by hooked shark pulled onboard skiboat PROVOKED INCIDENT,N,Unknown:00,"Raggedoth shark, ",fishing,raggedoth shark
137,1978-01-01,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,F,Unknown,Foot bitten,N,,Unknown,surfing,
138,1976-01-13,Provoked,South Africa,Western Cape Province,Hartenbos,Shark fishing,Unknown,Unknown,"No injury to occupants, After shark was harpooned & shot, it holed the boat PROVOKED INCIDENT",N,,  shark,fishing,
139,1974-09-28,Unprovoked,USA,California,"North of Point Sur, Monterey County",Surfing,M,17,"Thigh, lower back and surfboard bitten",N,07:30:00,"White shark,    ",surfing,white shark
140,1971-10-23,Unprovoked,USA,Florida,"Ft. Pierce, St Lucie County",Surfing,M,18,"Right shoulder, arm & hand bitten",N,, shark,surfing,
141,1971-06-01,Unprovoked,British Isles,South Devon,Beesands,Scuba diving,M,32,"No injury, said to have been attacked by shark but drove it away with a lobster hook",N,,  porbeagle shark,diving,
142,1971-06-01,Sea Disaster,Mozambique,Between Beira & Maputo,Unknown,Wreck of the 1689-ton Portuguese  coaster Angoche,Unknown,Unknown,"FATAL, it was  thought  the surviving crew  were taken by sharks",Y,Unknown:00,Unknown,sea accident,
143,1970-01-09,Unprovoked,England,Devon,Teignmouth,Attempted to return injured shark to the sea,M,Unknown,Leg bitten,N,,blue shark,other,blue shark
144,1969-03-25,Provoked,Australia,New South Wales,Newcastle,Unknown,M,65,Foot lacerated. Recorded as PROVOKED INCIDENT,N,,Mako shark,other,mako shark
145,1968-04-20,Unprovoked,USA,Florida,"Palm Beach Shores, Riviera Beach, Singer Island, Palm Beach County",Unknown,M,10,"Buttock, both legs & arm bitten",N,12:30:00,  silky shark,other,
146,1966-06-11,Provoked,USA,Florida,"Ft. Lauderdale, Broward County",Fishing,M,18,Hand & forearm bitten by hooked shark PROVOKED INCIDENT,N,,  hammerhead shark,fishing,hammerhead shark
147,1966-06-02,Provoked,French Polynesia,Society Islands,Tahiti,Fishing,M,Unknown,Arm lacerated by netted shark PROVOKED INCIDENT,N,,Unknown,fishing,
148,1966-04-01,Sea Disaster,Australia,New South Wales,"Botany Bay, Sydney",Overturned skiff,M,Unknown,Survived,N,Unknown:00,Unknown,other,
149,1966-01-25,Sea Disaster,Indonesia,North Sumatra,Near Belawan,wreck of the State Oil Company ship Permina,Unknown,Unknown,Sharks said to have killed some of the 80 people lost,Y,,Unknown,sea accident,
150,1966-01-25,Invalid,USA,California,"Huntington Beach, Orange County",Walking,F,15,Minor lacerations & abrasions to lower leg.,Unknown,,Shark involvement not confirmed,other,
151,1965-06-19,Invalid,USA,Florida,"In front of Key Biscayne Beach Club, Key Biscayne",Wading,M,6,Parallel lacerations on right calf. Thought to be a barracuda bite,Unknown,Unknown:00,Questionable incident,other,
152,1964-08-22,Invalid,USA,Florida,5 miles south of Palm Beach,Spearfishing / free diving,M,18,3 m to 3.7 m [10' to 12']  great hammerhead shark shark only made a threat display. No injury,Unknown,,Invalid,diving,
153,1962-09-13,Unprovoked,South Atlantic Ocean,Off coast of West Africa,Off the passenger liner Stirling Castle,"When  a deckhand  jumped overboard, McIver dived after him with a rescue line.",M,29,"FATAL, he died within minutes of being hauled back onboard the Stirling Castle",Y,,Unknown,diving,
154,1962-08-23,Watercraft,South Africa,Western Cape Province,Robbesteen,Fishing,Unknown,Unknown,"No injury to occupants, shark hit boat, lifting it from the water, bit & dented propeller",N,12:00:00,  shark,fishing,
155,1962-07-20,Provoked,Madagascar,Unknown,"Onboard tuna boat, M.V. Toscui Maru",Finning the shark,M,20,Right calf lacerated by boated shark PROVOKED INCIDENT,N,,  shark,other,
156,1962-06-21,Watercraft,South Africa,Western Cape Province,"Millers Point, False Bay",On a shark hunt,Unknown,Unknown,"No injury to occupants, shark charged boat, then 2 more sharks hit boat, oar grabbed, boat finally drifted ashore at 02h00",N,,    sharks,other,
157,1962-05-29,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Unknown,M,17,Bitten on leg or ankle,N,Unknown:00,Unknown,other,
158,1962-01-21,Provoked,Australia,New South Wales,Cronulla,Spearfishing,M,19,Suffered from shock & immersion after being dragged underwater  by speared shark PROVOKED INCIDENT,N,,"Bronze whaler shark,  ",fishing,bronze whaler
159,1961-09-26,Provoked,USA,Florida,"Florida Keys, Monroe County",Unknown,M,16,Foot & lower leg abraded and lacerated when he kicked the shark PROVOKED INCIDENT,N,,Unknown,other,
160,1961-05-17,Unprovoked,USA,East New Britain Province,Kokopo,Collecting dynamited fish,M,Unknown,Thumb & 2 fingers severed,N,Unknown:00,Unknown,fishing,
161,1960-08-30,Unprovoked,USA,New Jersey,"Ocean City, Cape May County",Swimming 3 miles offshore,M,25,Right leg severely lacerated,N,,Unknown,swimming,
162,1960-03-31,Unprovoked,USA,Florida,"Off Boca Raton Hotel & Club, Boca Raton, Palm Beach County",Treading water,M,42,"Ankle bitten, hand injured while striking shark",N,," , possibly  larger shark",other,
163,1959-08-25,Invalid,Japan,Hokkaido Prefecture,"Okushiri Island, Hiyama Subprefecture",Unknown,M,14,Survived (no injury?),Unknown,Unknown:00,Questionable incident,other,
